KHMN,HOLLOMAN AFB
KHND,HENDERSON EXECUTIVE
KHOB,LEA CO RGNL
KHOP,CAMPBELL AAF
KHRL,VALLEY INTL
KHRT,HURLBURT FIELD
KHRX,HEREFORD MUNI
KHSA,STENNIS INTL
KHST,HOMESTEAD ARS -  FL
KHSV,HUNTSVILLE INTL CARL T JONES FLD
KHTH,HAWTHORNE INDUSTRIAL
KHUA,REDSTONE AAF
KHUF,TERRE HAUTE INTL HULMAN FIELD -  IN
KHUT,HUTCHINSON MUNI
KIAB,MCCONNELL AFB
KIAG,NIAGARA FALLS ARS -  NY
KICT,WICHITA MID CONTINENT
KIDA,IDAHO FALLS RGNL
KIKR,KIRTLAND AFB -  NM
KILG,NEW CASTLE
KILM,WILMINGTON INTL
KINS,CREECH AFB
KISO,KINSTON RGNL JETPORT AT STALLINGS FLD
KIWA,WILLIAMS GATEWAY
KJAN,JACKSON EVERS INTL
KJAN,ALLEN C. THOMPSON FIELD -  MS
KJAX,JACKSONVILLE INTL ARPT
KJCT,KIMBLE CO
KJKA,JACK EDWARDS
KJST,JOHN MURTHA JOHNSTOWN CAMBRIA CO
KJTC,SPRINGERVILLE MUNI
KJWG,WATONGA RGNL
KK02,PERRYVILLE MUNI
KL25,PEARCE FERRY
KLAA,LAMAR MUNI
KLAL,LAKELAND LINDER RGNL
KLAS,MC CARRAN INTL
KLAW,LAWTON-FORT SILL REGIONAL
KLBB,LUBBOCK INTERNATIONAL
KLCH,LAKE CHARLES RGNL
KLCK,RICKENBACKER ANGB -  OH
KLCQ,LAKE CITY MUNI
KLFI,LANGLEY AFB
KLFT,LAFAYETTE RGNL
KLGF,LAGUNA AAF
KLHW,WRIGHT AAF
KLHX,LA JUNTA MUNI
KLIC,LIMON MUNI
KLIT,ADAMS FLD
KLMT,KINGSLEY FIELD -  OR
KLMT,KLAMATH FALLS
KLNK,LINCOLN MUNI ARPT
KLNS,LANCASTER
KLRD,LAREDO INTL
KLRF,LITTLE ROCK AFB
KLSE,LA CROSSE MUNICIPAL AIRPORT
KLSF,LAWSON AAF
KLSV,NELLIS AFB
KLTS,ALTUS AFB
KLUF,LUKE AFB
KLUF,LUKE AFB AUX1
KLVS,LAS VEGAS MUNI
KLWB,GREENBRIER VALLEY
KMAF,MIDLAND INTERNATIONAL
KMCE,MERCED RGNL MACREADY FLD
KMCF,MACDILL AFB
KMCI,KANSAS CITY INTL
KMCN,MIDDLE GEORGIA RGNL
KMDA,MARTINDALE AAF
KMDQ,HUNTSVILLE EXECUTIVE ARPT TOM SHARP JR
KMDT,HARRISBURG INTL
KMDW,CHICAGO MIDWAY INTL
KMEI,KEY FLD
KMEM,MEMPHIS INTL
KMER,CASTLE
KMFD,MANSFIELD LAHM REGIONAL -  OH
KMFE,MC ALLEN MILLER INTL
KMFR,ROGUE VALLEY INTL MEDFORD
KMGE,DOBBINS ARB ATLANTA NAS
KMGM,MONTGOMERY RGNL
KMGM,DANNELLY FIELD -  AL
KMHR,SACRAMENTO MATHER
KMHT,MANCHESTER
KMHV,MOJAVE
KMIB,MINOT AFB
KMKC,CHARLES B WHEELER DOWNTOWN
KMKE,GENERAL MITCHELL IAP
KMLI,QUAD CITY INTL
KMLU,MONROE RGNL
KMMH,MAMMOTH YOSEMITE
KMMT,MC ENTIRE ANGS
KMOB,MOBILE RGNL
KMOD,MODESTO CITY
KMOT,MINOT INTL
KMQB,MACOMB MUNI
KMRB,SHEPHERD FIELD -  WV
KMRY,MONTEREY PENINSULA
KMSN,TRUAX FIELD -  WI
KMSO,MISSOULA INTL
KMSP,MINNEAPOLIS ST PAUL INTL
KMSY,LOUIS ARMSTRONG NEW ORLEANS INTL
KMTC,SELFRIDGE ANGB
KMTN,MARTIN STATE
KMUI,MUIR AAF
KMUL,SPENCE
KMUO,MOUNTAIN HOME AFB
KMVY,MARTHAS VINEYARD
KMWA,WILLIAMSON CO RGNL
KMWH,GRANT COUNTY INTL
KMXF,MAXWELL AFB
KMYR,MYRTLE BEACH INTL
KNBC,BEAUFORT MCAS
KNBG,NEW ORLEANS NAS JRB
KNBJ,BARIN NOLF
KNCA,NEW RIVER MCAS
KNDY,DAHLGREN USN SFC WAR CNTR
KNDZ,WHITING FLD NAS SOUTH
KNEL,LAKEHURST NAES
KNEN,WHITEHOUSE NOLF
KNEW,LAKEFRONT
KNFD,SUMMERDALE NOLF
KNFE,FENTRESS NALF
KNFG,CAMP PENDLETON MCAS
KNFJ,CHOCTAW NOLF
KNFL,FALLON NAS
KNFW,FORT WORTH NAS
KNGP,CORPUS CHRISTI NAS
KNGS,SANTA ROSA NOLF
KNGT,GOLIAD NOLF
KNGU,NORFOLK NAS
KNGW,CABANISS FLD NOLF
KNHK,PATUXENT RIVER NAS
KNHL,WOLF NOLF
KNHZ,BRUNSWICK NAS
KNID,CHINA LAKE NAWS
KNIP,JACKSONVILLE NAS
KNJK,EL CENTRO NAF
KNJM,BOGUE MCALF
KNJW,JOE WILLIAMS NOLF
KNKL,HOLLEY NOLF
KNKT,CHERRY POINT MCAS
KNKX,MIRAMAR MCAS
KNLC,LEMOORE NAS
KNMM,MERIDIAN NAS
KNOG,ORANGE GROVE NALF
KNOW,PORT ANGELES CGAS
KNPA,PENSACOLA NAS
KNQA,MILLINGTON RGNL JETPORT
KNQB,SILVERHILL NOLF
KNQI,KINGSVILLE NAS
KNQX,KEY WEST NAS
KNRA,COUPEVILLE NOLF
KNRB,MAYPORT NS
KNRQ,SPENCER NOLF
KNSE,WHITING FLD NAS NORTH
KNSI,SAN NICOLAS ISLAND NOLF
KNTD,POINT MUGU NAWS
KNTU,OCEANA NAS
KNUC,SAN CLEMENTE ISLAND NALF
KNUI,WEBSTER NOLF
KNUN,SAUFLEY FLD NOLF
KNUQ,MOFFETT FEDERAL AIRFIELD
KNUW,WHIDBEY ISLAND NAS
KNVI,PACE NOLF
